conversation_id,timestamp,customer_message,intent,difficulty,turn_count,expected_action,escalation_recommendation,escalation_reason,historical_brand_response,labeler_notes
conv_182633,2017-10-04T16:14:14Z,#AmazonIndia #Amazon This s ridiculous that I hve nt received ma order n it's showing delivered. Plz check n clarify.... https://t.co/XSQWMrMCcY,ORDER_DELIVERY_AND_TRACKING,medium,5,INVESTIGATE_FALSE_DELIVERY,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,@158946 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Conversational query with multi-sentence context (5 turns) reflecting customer context.
conv_179088,2017-09-30T06:17:40Z,My Amazon ordered book has been damaged in transit. Has anyone received a message instructing communications with Amazon once received?,ORDER_DELIVERY_AND_TRACKING,hard,10,TRACK_SHIPMENT_AND_CARRIER_UPDATE,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,@158230 Have you been in touch with us here: https://t.co/hApLpMlfHN ?^CD,Hard boundary case with overlapping intent signals; classified as ORDER_DELIVERY_AND_TRACKING based on precedence hierarchy.
conv_224633,2017-10-04T02:53:36Z,Horrible customer experience from Amazon India. No tracking and No refund. What happened to customer first principle #Amazon,ORDER_DELIVERY_AND_TRACKING,hard,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@169670 here https://t.co/tppE1w0n7O and we'll reach out to you. (2/2) ^VM,Hard boundary case with overlapping intent signals; classified as ORDER_DELIVERY_AND_TRACKING based on precedence hierarchy.
conv_319695,2017-10-04T06:32:05Z,kindly track order no #4__credit_card__ neither product nor refund received even after a month,ORDER_DELIVERY_AND_TRACKING,hard,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@192216 Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. ^SA 2/2,Hard boundary case with overlapping intent signals; classified as ORDER_DELIVERY_AND_TRACKING based on precedence hierarchy.
conv_179064,2017-10-04T10:03:13Z,Hi @amazonhelp how do I get a refund on item which hasn't arrived in a group parcel ?,ORDER_DELIVERY_AND_TRACKING,hard,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158226 Hi Wendy-Sorry to hear you're missing an item. Was the order broken into separate shipments perhaps? Who was the order sold by?^NV,Hard boundary case with overlapping intent signals; classified as ORDER_DELIVERY_AND_TRACKING based on precedence hierarchy.
conv_180934,2017-10-04T12:49:13Z,My order says delivered but hasn’t arrived. How do I get a refund?,ORDER_DELIVERY_AND_TRACKING,hard,2,INVESTIGATE_FALSE_DELIVERY,escalate_human_agent,Package marked delivered but missing; requires carrier investigation.,"@158501 Hey, get in touch with us here: https://t.co/JzP7hlA23B so we can help you out. ^KM",Hard boundary case with overlapping intent signals; classified as ORDER_DELIVERY_AND_TRACKING based on precedence hierarchy.
conv_648407,2015-06-13T01:34:49Z,what in the world is a balance withheld? #customerservice doesnt seem to know!,REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@274086 Sorry, I'm not quite sure what you're having trouble with. Was there an authorization you were wondering about? ^JY","Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_348625,2017-09-20T17:04:42Z,I want to buy mobile if I feel not satisfied this product so can i return ? So I will get money back,REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@198989 All mobiles on Amazon.in are covered under the 10 days - replacement only policy. (1/2) ^MP,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_1381159,2017-10-01T00:25:06Z,Still no resolution to my problem neither received the phone nor refund @115850 @AmazonHelp,REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@441475 We're working on your issue and we'll reach out to you once we receive an update from our team. Appreciate your patience. ^SQ,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_1381155,2017-10-02T09:07:02Z,Still no reply niether refund ??? @115850 @AmazonHelp,REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@441475 Please reply to the email sent by our team for latest updates on your refund. ^VM,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_232154,2017-10-03T10:42:09Z,Under 407-0048975-7733909 buyer ordered 2 qty of product and returned 1 qty but amazon refunded for both qty. WHAT A SHAME. https://t.co/xelf2BIN2d,REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@171267 Sorry to know about that. I'll be sure to pass on your feedback to our specialist team internally and work on it. ^AK (1/2),"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_180116,2017-10-04T10:55:42Z,I ordered motoG5S plus frm Amazon by credit card.But they giving me refund. I paid interest of credit card for nothing.,REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158388 Apologies for the unpleasant experience. I'll be sure o forward your comments as a feedback internally. ^AG,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_183577,2017-10-04T11:52:16Z,Hey @AmazonHelp I received refund for last amazon prime but now see that the past two months have been charged..I am still being charged https://t.co/ZYYf2D21Bq,REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,escalate_human_agent,Financial claim or prolonged refund inquiry requiring transaction lookup.,@159171 Please get in touch with us here: https://t.co/JzP7hlA23B and we'll investigate this for you. ^RL,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_180609,2017-10-04T12:25:36Z,"Hello @115850 When I ordered a loafer, then a formal shoe came to me. But still in waiting for return &refund. https://t.co/zqsADKij0g",REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158461 Sorry about that. Kindly get in touch with us here: https://t.co/M93KWXc0IF and we’ll be glad to help you. ^NS,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_180915,2017-10-04T12:48:41Z,"Dear @115850 wish to know about my refund status , Your DA came and collected the package but status shows as return requested",REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158498 Apologies for the trouble. Have you reported this to our support team here: https://t.co/2t6DQoUmNZ? ^HR,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_179691,2017-10-04T12:55:50Z,I'd like to thank you for the swift refund for my order that never arrived. Such quick actions engender great loyalty,REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158318 You're very welcome! Thank you for taking time to let us know your situation was taken care of. 😁 ^MJ,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_197817,2017-10-04T13:59:16Z,"Hi there, a CD I ordered recently has a large crack on the front of it. I was wondering how it can be replaced; not refunded.",REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@162518 I'm sorry your CD arrived with a crack! You can check here: https://t.co/WRCpw6hMLd to see what options are available. ^TR,"Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_239638,2017-10-04T14:26:11Z,"placed 2 orders separately yesterday, at separate times, paid postage on both but you put them in the same 📦, can I get a refund?",REFUND_STATUS_AND_DISPUTES,easy,2,TRACK_AND_DISBURSE_REFUND,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,"@142494 Hi Neil! We can't see your account info on Twitter, so to best help you'll need to call or chat here: https://t.co/JzP7hlA23B ^JD","Prototypical, unambiguous refund status and disputes query with clear keywords."
conv_1564956,2017-06-07T09:19:42Z,ordered yester a timex watch@999 via sbi INB refund not yet https:__email__,REFUND_STATUS_AND_DISPUTES,medium,4,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@483170 Hi, could you tell us if the refund of your order is in reference to the return/cancellation of the order? ^OG 1/2",Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_234766,2017-08-16T05:00:16Z,why i can't get refund of my headphone which is worth 8999. they are is no return only replace. Now i can't do anything.,REFUND_STATUS_AND_DISPUTES,medium,5,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@171904 Hi, sorry for the inconvenience. We have a replacement only policy for the headsets. You can have a look at our 1/2 ^SH",Conversational query with multi-sentence context (5 turns) reflecting customer context.
conv_210339,2017-10-04T04:51:37Z,order no 405-3129805-1022740 . its already been returned . i dont want the product . please initiate the refund,REFUND_STATUS_AND_DISPUTES,medium,4,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@165784 We'll surely help you out Kishore. Kindly reach out to our support team here: https://t.co/beaaDm0muc, (1/2)^AP",Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_179197,2017-10-04T09:35:14Z,This is very pathetic & painful to knw that @115850 forgt to refnd 45k. It means if customer wouldn't call then they won't refund ur money,REFUND_STATUS_AND_DISPUTES,medium,4,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@158245 We apologize for the delay in refund. To make sure, has the issue been closed by our support team? ^CB",Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_181071,2017-10-04T12:36:30Z,Getting really pissed off w/ @115830 Charged me £308 on Friday 'in error' Still waiting for refund confirmation despite several phonecalls,REFUND_STATUS_AND_DISPUTES,medium,4,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158528 I'd like a member of my team to look into this with you. Please send us your contact info here: https://t.co/Pu4pKlwP64 ^KH,Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_197724,2017-10-04T14:10:51Z,Order id 408-9284363-8106739.Amazon cheat and dont refund my money.@115821,REFUND_STATUS_AND_DISPUTES,medium,3,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@162503 Apologies for the unpleasant experience. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you. ^GS,Conversational query with multi-sentence context (3 turns) reflecting customer context.
conv_230127,2017-10-04T15:20:54Z,You are doing fraud by selling amazon prime. U charge but do not provide services. Kindly refund my money.,REFUND_STATUS_AND_DISPUTES,medium,4,TRACK_AND_DISBURSE_REFUND,escalate_human_agent,Financial claim or prolonged refund inquiry requiring transaction lookup.,"@170830 Sorry to know that, Deepak. Could you tell us what exactly went wrong? We'll get it sorted. ^MS",Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_224179,2017-10-05T04:12:52Z,Worst Service i have not got my Refund Back post 22nd sep 2017 Order No ORDER # 404-2093874-6845963,REFUND_STATUS_AND_DISPUTES,medium,3,TRACK_AND_DISBURSE_REFUND,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,@169567 We're sorry about the stretch with your refund. Please fill up this form: https://t.co/GIJyeYqKE0 and we'll reach out. ^HK,Conversational query with multi-sentence context (3 turns) reflecting customer context.
conv_224277,2017-10-05T04:19:19Z,"what the fucking service. Didn't call to customer nd refunded products, order date-29sep2017,order id- 408-1407922-2237939",REFUND_STATUS_AND_DISPUTES,medium,3,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@169585 Sorry about that. Kindly get in touch with us here: https://t.co/DUexvWeCdE and we’ll be glad to help you. ^AG,Conversational query with multi-sentence context (3 turns) reflecting customer context.
conv_2549432,2017-09-26T12:43:33Z,"I am a Prime Member, my order not delivered but money also not refunded. Ord no 407-2724072-3557945. This is cheating a loyal cust",REFUND_STATUS_AND_DISPUTES,hard,5,TRACK_AND_DISBURSE_REFUND,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,"@724373 Kindly reach out to our support team here: https://t.co/2t6DQoUmNZ, we'll get back to you soon. (2/2) ^AP",Hard boundary case with overlapping intent signals; classified as REFUND_STATUS_AND_DISPUTES based on precedence hierarchy.
conv_222806,2017-09-26T15:24:49Z,"Please provide resolution, Amazon pay cashback not credited yet . 5days gone due date 21st sept 2017",REFUND_STATUS_AND_DISPUTES,hard,22,TRACK_AND_DISBURSE_REFUND,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,@169215 Apologies. Please drop in the details here : https://t.co/8fXxTvY5VY. We'll get back to you. ^CA,Hard boundary case with overlapping intent signals; classified as REFUND_STATUS_AND_DISPUTES based on precedence hierarchy.
conv_253942,2017-09-26T18:07:06Z,you owe my 2500 rs as you forcibly refunded me in Amazon Pay despite taking bank details.Cant succumb to ur autocracy.,REFUND_STATUS_AND_DISPUTES,hard,4,TRACK_AND_DISBURSE_REFUND,escalate_human_agent,Financial claim or prolonged refund inquiry requiring transaction lookup.,@176365 I'm sorry to know about that. We'd like to take a closer look at this issue. ^NR 1/2,Hard boundary case with overlapping intent signals; classified as REFUND_STATUS_AND_DISPUTES based on precedence hierarchy.
conv_381413,2017-10-03T17:47:37Z,Gt my firestick tv 10 days bk now power adpter stop working.Wn I askd 4 rplacemnt thy suggstd buy new1 later wl refund,REFUND_STATUS_AND_DISPUTES,hard,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@206451 I'm sorry hear about the adapter. We'd like to look into this, please share your details here: https://t.co/cQVomR1pWz. ^HA",Hard boundary case with overlapping intent signals; classified as REFUND_STATUS_AND_DISPUTES based on precedence hierarchy.
conv_179327,2017-10-04T09:53:25Z,"Talked nearly 7-8 times, for my refund. The product was cancelled on 25th. And still i haven't received any refund. Courtesy- @115850",REFUND_STATUS_AND_DISPUTES,hard,2,TRACK_AND_DISBURSE_REFUND,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158260 We can't access your details over Twitter. Kindly drop them via the secure link we shared. We'll investigate this for you. ^CB,Hard boundary case with overlapping intent signals; classified as REFUND_STATUS_AND_DISPUTES based on precedence hierarchy.
conv_130747,2015-07-17T13:53:02Z,1/ @115850 Are you guys leaking email ids of user who applied for Amazon BTS offer?My bro got this spam email: http://t.co/6YtfYm0aLN,DAMAGED_DEFECTIVE_OR_WRONG_ITEM,easy,2,REPLACE_DAMAGED_DEFECTIVE_ITEM,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@145514 Our customers' security is our utmost important concern & we take all necessary steps to safe guard their info. I assure you. ^AN,"Prototypical, unambiguous damaged defective or wrong item query with clear keywords."
conv_1331823,2017-02-26T14:38:41Z,"Purchased through @115821. The packages were opened tampered with, additional items inserted and then shipped to me. Reprehensible QC❗️",DAMAGED_DEFECTIVE_OR_WRONG_ITEM,easy,2,REPLACE_DAMAGED_DEFECTIVE_ITEM,escalate_human_agent,High-severity product condition failure requiring merchant investigation.,@430713 I'm very sorry to hear this. Have you chatted with our Customer Service to go over options: https://t.co/hApLpMlfHN? ^JM,"Prototypical, unambiguous damaged defective or wrong item query with clear keywords."
conv_182606,2017-09-29T09:25:35Z,Buying home appliances from you shakes a consumer's confidence in #ecommerce. A damaged product was covered up and sent! @115821,DAMAGED_DEFECTIVE_OR_WRONG_ITEM,easy,2,REPLACE_DAMAGED_DEFECTIVE_ITEM,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,@158940 We apologize for any inconvenience incurred by you. Contact us here: https://t.co/rS49hgaADF so we could resolve this. ^RS,"Prototypical, unambiguous damaged defective or wrong item query with clear keywords."
conv_224831,2017-09-30T10:36:56Z,it is highly regretted that a reputated online business set up has started behaving like others. A defective has delivered to me.,DAMAGED_DEFECTIVE_OR_WRONG_ITEM,easy,2,REPLACE_DAMAGED_DEFECTIVE_ITEM,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@169714 Sorry to know you've received a defective item. Please report that here: https://t.co/HQhpS2qeEd and we'll sort this out. ^MS,"Prototypical, unambiguous damaged defective or wrong item query with clear keywords."
conv_659446,2017-10-04T07:09:14Z,Received empty box of one plus five . Dussehra enjoyed by Amazon team and they ruined my father's gift. @115851 @115830 @119356 https://t.co/uBHl6P3Dnn,DAMAGED_DEFECTIVE_OR_WRONG_ITEM,easy,2,REPLACE_DAMAGED_DEFECTIVE_ITEM,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,@277025 I'm sorry that you had to face such an ordeal with your order. Please fill this form right away: https://t.co/beaaDm0muc. ^SI,"Prototypical, unambiguous damaged defective or wrong item query with clear keywords."
conv_179531,2017-10-04T09:49:56Z,#SWBFII The Amazon Codes are Not Working,DAMAGED_DEFECTIVE_OR_WRONG_ITEM,easy,2,REPLACE_DAMAGED_DEFECTIVE_ITEM,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158285 Hi there- Can you clarify further what issue is occurring for you? Thanks. ^NV,"Prototypical, unambiguous damaged defective or wrong item query with clear keywords."
